age,gender,country,highest_deg,code_experience,current_title,industry,company_size,annual_comp
35-39,Man,India,Master’s degree,1-3 years,,,,
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,10-20 years,Teacher / professor,Academics/Education,"1000-9,999 employees","40,000-49,999"
35-39,Man,United States of America,Master’s degree,3-5 years,"Manager (Program, Project, Operations, Executive-level, etc)",Academics/Education,250-999 employees,"100,000-124,999"
30-34,Woman,Nigeria,I prefer not to answer,I have never written code,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
70+,Man,United States of America,Doctoral degree,20+ years,Data Scientist,Online Service/Internet-based Services,0-49 employees,"15,000-19,999"
30-34,Woman,Egypt,Doctoral degree,< 1 years,,,,
40-44,Woman,India,I prefer not to answer,10-20 years,Teacher / professor,Academics/Education,250-999 employees,"1,000-1,999"
18-21,Man,Other,Master’s degree,1-3 years,,,,
18-21,Man,Russia,Bachelor’s degree,< 1 years,,,,
22-24,Man,Ghana,Bachelor’s degree,5-10 years,,,,
55-59,Man,India,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,250-999 employees,"15,000-19,999"
22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
18-21,Man,Other,,,,,,
45-49,Man,Spain,Bachelor’s degree,20+ years,Software Engineer,Online Service/Internet-based Services,0-49 employees,"40,000-49,999"
30-34,Man,India,Master’s degree,1-3 years,Data Scientist,Online Service/Internet-based Services,0-49 employees,"7,500-9,999"
45-49,Man,Mexico,Doctoral degree,20+ years,Teacher / professor,Academics/Education,"1000-9,999 employees","40,000-49,999"
25-29,Man,Kenya,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
25-29,Man,United States of America,Master’s degree,5-10 years,,,,
22-24,Man,Brazil,Bachelor’s degree,3-5 years,Data Scientist,Computers/Technology,"1000-9,999 employees","20,000-24,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Woman,India,Bachelor’s degree,I have never written code,Currently not employed,,,
18-21,Man,Russia,Bachelor’s degree,3-5 years,,,,
25-29,Man,Egypt,Master’s degree,5-10 years,,,,
45-49,Man,Chile,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"1000-9,999 employees",$0-999
25-29,Man,Turkey,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0-49 employees,"5,000-7,499"
35-39,Woman,United States of America,Doctoral degree,5-10 years,"Manager (Program, Project, Operations, Executive-level, etc)",Medical/Pharmaceutical,50-249 employees,"150,000-199,999"
50-54,Man,United States of America,Bachelor’s degree,< 1 years,,,,
22-24,Man,India,Master’s degree,1-3 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
35-39,Woman,Pakistan,Doctoral degree,10-20 years,,,,
50-54,Man,Singapore,Master’s degree,< 1 years,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,"10,000 or more employees","250,000-299,999"
25-29,Man,Bangladesh,Bachelor’s degree,< 1 years,Engineer (non-software),Computers/Technology,50-249 employees,$0-999
25-29,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
30-34,Man,India,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Manufacturing/Fabrication,"10,000 or more employees",
18-21,Man,South Korea,Bachelor’s degree,1-3 years,,,,
40-44,Woman,Netherlands,Doctoral degree,10-20 years,Teacher / professor,Academics/Education,"1000-9,999 employees","60,000-69,999"
30-34,Man,India,Master’s degree,< 1 years,Currently not employed,,,
35-39,Man,India,Bachelor’s degree,1-3 years,Data Scientist,Energy/Mining,"10,000 or more employees",
18-21,Man,China,Bachelor’s degree,1-3 years,,,,
25-29,Man,China,Master’s degree,1-3 years,,,,
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,I have never written code,Other,Marketing/CRM,"1000-9,999 employees",
40-44,Man,Japan,No formal education past high school,1-3 years,"Manager (Program, Project, Operations, Executive-level, etc)",Marketing/CRM,50-249 employees,"30,000-39,999"
22-24,Man,India,Master’s degree,3-5 years,,,,
40-44,Man,France,Master’s degree,10-20 years,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,"10,000 or more employees","70,000-79,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
30-34,Man,Nepal,Master’s degree,I have never written code,Other,Medical/Pharmaceutical,50-249 employees,"60,000-69,999"
18-21,Man,Pakistan,Bachelor’s degree,< 1 years,,,,
22-24,Prefer not to say,India,Bachelor’s degree,1-3 years,Software Engineer,Insurance/Risk Assessment,50-249 employees,"5,000-7,499"
30-34,Woman,India,Master’s degree,1-3 years,,,,
40-44,Man,India,Master’s degree,5-10 years,Data Engineer,Other,"10,000 or more employees","10,000-14,999"
22-24,Man,India,Bachelor’s degree,1-3 years,Currently not employed,,,
35-39,Man,India,Doctoral degree,10-20 years,Teacher / professor,Academics/Education,250-999 employees,"10,000-14,999"
45-49,Man,United States of America,Professional doctorate,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
30-34,Man,Brazil,Bachelor’s degree,< 1 years,Engineer (non-software),Manufacturing/Fabrication,0-49 employees,
18-21,Man,United States of America,Bachelor’s degree,1-3 years,,,,
22-24,Man,India,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
35-39,Man,South Korea,I prefer not to answer,10-20 years,,,,
22-24,Man,Italy,Master’s degree,5-10 years,,,,
45-49,Man,Taiwan,Master’s degree,20+ years,Software Engineer,Computers/Technology,0-49 employees,"5,000-7,499"
30-34,Woman,Canada,Doctoral degree,1-3 years,Engineer (non-software),Manufacturing/Fabrication,50-249 employees,"40,000-49,999"
30-34,Woman,Russia,Doctoral degree,3-5 years,Teacher / professor,Academics/Education,"1000-9,999 employees","10,000-14,999"
35-39,Man,United States of America,Master’s degree,20+ years,Data Engineer,,,
22-24,Man,India,Master’s degree,3-5 years,,,,
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,20+ years,Data Scientist,Other,"10,000 or more employees","100,000-124,999"
18-21,Man,India,Bachelor’s degree,I have never written code,,,,
45-49,Man,Italy,I prefer not to answer,1-3 years,Currently not employed,,,
22-24,Man,Morocco,Master’s degree,1-3 years,,,,
35-39,Man,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"1000-9,999 employees","15,000-19,999"
45-49,Woman,United States of America,Bachelor’s degree,5-10 years,,,,
45-49,Man,United States of America,Master’s degree,10-20 years,Machine Learning/ MLops Engineer,Accounting/Finance,"1000-9,999 employees","250,000-299,999"
18-21,Man,India,Master’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Other,Master’s degree,5-10 years,Software Engineer,,,
25-29,Man,South Korea,Master’s degree,3-5 years,Software Engineer,Computers/Technology,250-999 employees,"4,000-4,999"
40-44,Man,Bangladesh,Professional doctorate,5-10 years,,,,
25-29,Man,India,Bachelor’s degree,< 1 years,"Manager (Program, Project, Operations, Executive-level, etc)",Online Service/Internet-based Services,"10,000 or more employees","15,000-19,999"
22-24,Man,India,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,"10,000 or more employees",
30-34,Man,Brazil,Master’s degree,5-10 years,Data Scientist,Online Service/Internet-based Services,250-999 employees,"30,000-39,999"
22-24,Prefer not to say,Bangladesh,Master’s degree,1-3 years,,,,
18-21,Woman,Taiwan,Bachelor’s degree,1-3 years,,,,
50-54,Man,United States of America,Master’s degree,10-20 years,Data Scientist,Computers/Technology,250-999 employees,"300,000-499,999"
30-34,Man,Australia,Some college/university study without earning a bachelor’s degree,3-5 years,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,0-49 employees,"150,000-199,999"
30-34,Man,Brazil,Bachelor’s degree,5-10 years,Data Engineer,Energy/Mining,"1000-9,999 employees","30,000-39,999"
25-29,Woman,Poland,Master’s degree,< 1 years,Research Scientist,Other,0-49 employees,"10,000-14,999"
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
35-39,Man,Nigeria,,,,,,
25-29,Man,India,Master’s degree,3-5 years,,,,
18-21,Man,India,Master’s degree,I have never written code,,,,
40-44,Man,Egypt,Master’s degree,< 1 years,,,,
30-34,Man,United States of America,Master’s degree,10-20 years,,,,
35-39,Woman,Other,Some college/university study without earning a bachelor’s degree,3-5 years,Currently not employed,,,
25-29,Woman,Pakistan,Master’s degree,1-3 years,Software Engineer,Other,0-49 employees,"1,000-1,999"
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Other,Master’s degree,1-3 years,,,,
30-34,Woman,India,Doctoral degree,1-3 years,,,,
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,10-20 years,Data Scientist,Other,"10,000 or more employees","70,000-79,999"
35-39,Man,Saudi Arabia,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,I prefer not to answer,1-3 years,Data Scientist,Accounting/Finance,"10,000 or more employees",
22-24,Man,India,Master’s degree,3-5 years,,,,
35-39,Man,Brazil,Master’s degree,10-20 years,Engineer (non-software),Energy/Mining,"10,000 or more employees","40,000-49,999"
60-69,Man,Israel,I prefer not to answer,20+ years,Data Scientist,Other,50-249 employees,"150,000-199,999"
35-39,Man,Nigeria,Doctoral degree,3-5 years,Statistician,Academics/Education,"1000-9,999 employees","1,000-1,999"
25-29,Man,India,I prefer not to answer,3-5 years,Software Engineer,Manufacturing/Fabrication,250-999 employees,"2,000-2,999"
25-29,Man,India,Master’s degree,< 1 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,Pakistan,Master’s degree,1-3 years,Software Engineer,Computers/Technology,0-49 employees,"60,000-69,999"
40-44,Man,India,Doctoral degree,I have never written code,Teacher / professor,Academics/Education,250-999 employees,"1,000-1,999"
30-34,Man,Other,Professional doctorate,3-5 years,,,,
22-24,Man,India,I prefer not to answer,I have never written code,Currently not employed,,,
25-29,Woman,Kenya,Master’s degree,3-5 years,,,,
18-21,Man,Brazil,Bachelor’s degree,3-5 years,,,,
25-29,Man,United States of America,Bachelor’s degree,< 1 years,,,,
25-29,Woman,Canada,Master’s degree,,,,,
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3-5 years,Data Scientist,Retail/Sales,250-999 employees,"60,000-69,999"
25-29,Man,Indonesia,Bachelor’s degree,< 1 years,,,,
35-39,Man,Other,Master’s degree,I have never written code,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
25-29,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,United States of America,Master’s degree,5-10 years,"Manager (Program, Project, Operations, Executive-level, etc)",Government/Public Service,50-249 employees,"125,000-149,999"
45-49,Man,India,Master’s degree,10-20 years,Software Engineer,Computers/Technology,0-49 employees,"30,000-39,999"
22-24,Man,Pakistan,Bachelor’s degree,1-3 years,,,,
25-29,Man,China,Bachelor’s degree,1-3 years,,,,
35-39,Woman,United States of America,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,"125,000-149,999"
22-24,Man,Cameroon,Master’s degree,1-3 years,,,,
18-21,Woman,Other,Master’s degree,1-3 years,,,,
35-39,Woman,India,Master’s degree,1-3 years,Teacher / professor,,,
35-39,Woman,India,Bachelor’s degree,< 1 years,Data Architect,Accounting/Finance,"10,000 or more employees","$500,000-999,999"
18-21,Man,India,Master’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,3-5 years,,,,
25-29,Man,Pakistan,Doctoral degree,< 1 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
18-21,Woman,Egypt,Bachelor’s degree,1-3 years,,,,
18-21,Woman,India,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
40-44,Man,India,Master’s degree,1-3 years,Data Scientist,Computers/Technology,"10,000 or more employees","60,000-69,999"
18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
25-29,Man,India,Master’s degree,1-3 years,,,,
22-24,Woman,Indonesia,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,"1000-9,999 employees","15,000-19,999"
25-29,Man,India,Master’s degree,1-3 years,,,,
30-34,Woman,United States of America,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Master’s degree,1-3 years,,,,
18-21,Woman,India,Master’s degree,I have never written code,,,,
22-24,Man,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees","50,000-59,999"
22-24,Man,Argentina,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
45-49,Woman,United States of America,No formal education past high school,I have never written code,,,,
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,20+ years,Research Scientist,Accounting/Finance,50-249 employees,"200,000-249,999"
35-39,Man,Brazil,Some college/university study without earning a bachelor’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000 or more employees","1,000-1,999"
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3-5 years,,,,
50-54,Man,Turkey,Some college/university study without earning a bachelor’s degree,20+ years,Currently not employed,,,
30-34,Woman,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,"10,000 or more employees","250,000-299,999"
18-21,Woman,Zimbabwe,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
35-39,Man,Peru,Bachelor’s degree,1-3 years,Currently not employed,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,Bachelor’s degree,I have never written code,,,,
22-24,Man,Bangladesh,Bachelor’s degree,1-3 years,,,,
40-44,Man,France,Doctoral degree,10-20 years,Research Scientist,Academics/Education,"1000-9,999 employees","40,000-49,999"
22-24,Man,Taiwan,I prefer not to answer,3-5 years,,,,
22-24,Woman,India,Master’s degree,I have never written code,,,,
25-29,Man,India,Master’s degree,1-3 years,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees","20,000-24,999"
22-24,Woman,India,Bachelor’s degree,5-10 years,Currently not employed,,,
25-29,Man,Nigeria,Bachelor’s degree,1-3 years,Data Scientist,Accounting/Finance,250-999 employees,"7,500-9,999"
25-29,Man,Colombia,Bachelor’s degree,< 1 years,,,,
18-21,Man,Turkey,Master’s degree,1-3 years,Research Scientist,Academics/Education,50-249 employees,"10,000-14,999"
30-34,Man,India,I prefer not to answer,I have never written code,,,,
25-29,Woman,Mexico,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,250-999 employees,"7,500-9,999"
40-44,Man,Brazil,No formal education past high school,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,"7,500-9,999"
18-21,Man,China,Master’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
35-39,Woman,Italy,Doctoral degree,5-10 years,Data Scientist,Computers/Technology,0-49 employees,"40,000-49,999"
25-29,Man,Russia,Master’s degree,5-10 years,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees",
30-34,Man,Brazil,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Computers/Technology,50-249 employees,"30,000-39,999"
40-44,Man,India,Bachelor’s degree,10-20 years,Developer Advocate,Computers/Technology,"10,000 or more employees","15,000-19,999"
18-21,Man,China,Bachelor’s degree,< 1 years,,,,
25-29,Man,United States of America,Master’s degree,5-10 years,Data Scientist,Retail/Sales,"10,000 or more employees","150,000-199,999"
18-21,Man,India,Master’s degree,5-10 years,,,,
22-24,Man,Kenya,Bachelor’s degree,1-3 years,,,,
22-24,Man,Morocco,Master’s degree,3-5 years,Software Engineer,Computers/Technology,50-249 employees,"1,000-1,999"
30-34,Man,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,50-249 employees,"7,500-9,999"
45-49,Man,Colombia,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Woman,India,,,,,,
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,< 1 years,Other,Academics/Education,50-249 employees,"50,000-59,999"
35-39,Woman,India,Doctoral degree,10-20 years,,,,
18-21,Man,India,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
22-24,Woman,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0-49 employees,$0-999
25-29,Man,Ghana,Bachelor’s degree,1-3 years,Data Scientist,Computers/Technology,0-49 employees,"30,000-39,999"
55-59,Man,Brazil,Master’s degree,20+ years,"Manager (Program, Project, Operations, Executive-level, etc)",Marketing/CRM,0-49 employees,"150,000-199,999"
35-39,Man,United States of America,Master’s degree,10-20 years,,,,
35-39,Man,United States of America,Master’s degree,< 1 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
50-54,Man,United States of America,Bachelor’s degree,1-3 years,Currently not employed,,,
18-21,Man,India,Bachelor’s degree,3-5 years,Software Engineer,Computers/Technology,"10,000 or more employees",$0-999
22-24,Man,India,Bachelor’s degree,< 1 years,Currently not employed,,,
18-21,Man,"Iran, Islamic Republic of...",Bachelor’s degree,3-5 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Man,Saudi Arabia,Bachelor’s degree,I have never written code,Other,Computers/Technology,250-999 employees,$0-999
40-44,Man,Peru,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,50-249 employees,"5,000-7,499"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Egypt,Master’s degree,1-3 years,,,,
30-34,Man,Ghana,Master’s degree,1-3 years,,,,
22-24,Man,India,Master’s degree,1-3 years,Machine Learning/ MLops Engineer,Marketing/CRM,250-999 employees,"7,500-9,999"
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,I prefer not to answer,3-5 years,,,,
25-29,Man,India,Master’s degree,< 1 years,Teacher / professor,Academics/Education,0-49 employees,"1,000-1,999"
18-21,Man,Turkey,Bachelor’s degree,3-5 years,,,,
18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,I have never written code,,,,
25-29,Man,Nigeria,Master’s degree,3-5 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Other,Bachelor’s degree,1-3 years,,,,
45-49,Man,Poland,Doctoral degree,1-3 years,Engineer (non-software),Energy/Mining,"1000-9,999 employees","2,000-2,999"
25-29,Man,Zimbabwe,Master’s degree,5-10 years,Software Engineer,,,
18-21,Man,Sri Lanka,Bachelor’s degree,1-3 years,,,,
22-24,Man,Bangladesh,Bachelor’s degree,10-20 years,,,,
22-24,Man,India,,,,,,
25-29,Man,United States of America,Doctoral degree,5-10 years,,,,
40-44,Man,Canada,I prefer not to answer,10-20 years,,,,
18-21,Woman,India,,,,,,
18-21,Man,Poland,Bachelor’s degree,I have never written code,,,,
40-44,Man,India,,,,,,
60-69,Man,Other,Doctoral degree,20+ years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees","3,000-3,999"
25-29,Man,Bangladesh,Doctoral degree,5-10 years,Currently not employed,,,
18-21,Man,India,I prefer not to answer,I have never written code,,,,
22-24,Man,Other,Bachelor’s degree,< 1 years,,,,
25-29,Man,Poland,Bachelor’s degree,3-5 years,,,,
22-24,Man,India,Professional doctorate,< 1 years,,,,
25-29,Woman,India,Master’s degree,< 1 years,Currently not employed,,,
30-34,Man,India,Bachelor’s degree,5-10 years,Machine Learning/ MLops Engineer,Computers/Technology,250-999 employees,"200,000-249,999"
30-34,Man,China,,,,,,
25-29,Man,Nigeria,Bachelor’s degree,< 1 years,,,,
30-34,Man,India,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,50-249 employees,"4,000-4,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,United States of America,Master’s degree,20+ years,Engineer (non-software),Insurance/Risk Assessment,"1000-9,999 employees","300,000-499,999"
22-24,Man,Other,Master’s degree,1-3 years,,,,
50-54,Man,United States of America,Master’s degree,1-3 years,"Manager (Program, Project, Operations, Executive-level, etc)",Medical/Pharmaceutical,"1000-9,999 employees","250,000-299,999"
40-44,Man,India,Bachelor’s degree,10-20 years,,,,
30-34,Man,Pakistan,Master’s degree,3-5 years,Software Engineer,Other,0-49 employees,"5,000-7,499"
30-34,Man,Nigeria,Master’s degree,< 1 years,Currently not employed,,,
25-29,Man,Pakistan,Master’s degree,1-3 years,,,,
25-29,Man,France,Master’s degree,3-5 years,Data Scientist,Insurance/Risk Assessment,250-999 employees,"50,000-59,999"
40-44,Man,Chile,Some college/university study without earning a bachelor’s degree,3-5 years,Software Engineer,Computers/Technology,250-999 employees,"2,000-2,999"
30-34,Man,Kenya,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"1000-9,999 employees","10,000-14,999"
35-39,Man,Japan,Bachelor’s degree,5-10 years,,,,
30-34,Man,China,Doctoral degree,I have never written code,Other,Online Service/Internet-based Services,"10,000 or more employees","3,000-3,999"
22-24,Man,Pakistan,Bachelor’s degree,1-3 years,,,,
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5-10 years,,,,
25-29,Woman,Brazil,Doctoral degree,1-3 years,,,,
18-21,Man,Egypt,Bachelor’s degree,1-3 years,,,,
25-29,Woman,Other,Master’s degree,I have never written code,Engineer (non-software),Retail/Sales,0-49 employees,
22-24,Woman,India,I prefer not to answer,3-5 years,,,,
25-29,Man,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,250-999 employees,"10,000-14,999"
35-39,Woman,United States of America,Bachelor’s degree,5-10 years,"Manager (Program, Project, Operations, Executive-level, etc)",Online Service/Internet-based Services,0-49 employees,"250,000-299,999"
30-34,Woman,India,Master’s degree,< 1 years,,,,
55-59,Man,India,Doctoral degree,20+ years,Currently not employed,,,
25-29,Man,Ethiopia,Master’s degree,5-10 years,,,,
22-24,Man,Egypt,Master’s degree,3-5 years,,,,
45-49,Man,Colombia,I prefer not to answer,I have never written code,,,,
25-29,Woman,United States of America,Doctoral degree,3-5 years,,,,
35-39,Woman,United States of America,Master’s degree,5-10 years,Currently not employed,,,
25-29,Man,South Korea,Master’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"1000-9,999 employees","40,000-49,999"
70+,Man,Australia,Doctoral degree,20+ years,Teacher / professor,Academics/Education,250-999 employees,
35-39,Man,South Africa,Doctoral degree,10-20 years,Data Scientist,Computers/Technology,250-999 employees,"60,000-69,999"
18-21,Woman,Other,Some college/university study without earning a bachelor’s degree,I have never written code,Data Scientist,Broadcasting/Communications,"10,000 or more employees","250,000-299,999"
30-34,Man,Ghana,Master’s degree,< 1 years,,,,
18-21,Prefer not to say,Japan,No formal education past high school,1-3 years,,,,
25-29,Man,Colombia,Professional doctorate,3-5 years,,,,
25-29,Man,Russia,I prefer not to answer,1-3 years,,,,
18-21,Man,Morocco,Bachelor’s degree,3-5 years,,,,
22-24,Man,Tunisia,Master’s degree,5-10 years,,,,
45-49,Man,Other,Master’s degree,5-10 years,Teacher / professor,Accounting/Finance,250-999 employees,"50,000-59,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,Russia,Bachelor’s degree,< 1 years,,,,
35-39,Woman,Mexico,Bachelor’s degree,1-3 years,Currently not employed,,,
35-39,Man,India,Master’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
40-44,Man,India,Doctoral degree,20+ years,,,,
25-29,Man,United States of America,Master’s degree,1-3 years,Statistician,Accounting/Finance,0-49 employees,
25-29,Man,India,Master’s degree,< 1 years,,,,
35-39,Man,India,Master’s degree,10-20 years,Data Scientist,Accounting/Finance,"10,000 or more employees","60,000-69,999"
25-29,Man,Russia,Master’s degree,I have never written code,Data Scientist,Retail/Sales,0-49 employees,"15,000-19,999"
30-34,Man,United States of America,Doctoral degree,10-20 years,,,,
35-39,Man,United States of America,Master’s degree,5-10 years,,,,
22-24,Man,India,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,"10,000 or more employees","1,000-1,999"
25-29,Woman,India,Master’s degree,I have never written code,Other,Academics/Education,0-49 employees,"2,000-2,999"
40-44,Man,South Korea,Master’s degree,10-20 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,Saudi Arabia,Doctoral degree,1-3 years,,,,
40-44,Man,Nigeria,Doctoral degree,< 1 years,Statistician,Medical/Pharmaceutical,50-249 employees,"5,000-7,499"
22-24,Man,Italy,Master’s degree,1-3 years,,,,
40-44,Man,Other,Some college/university study without earning a bachelor’s degree,3-5 years,Developer Advocate,Computers/Technology,0-49 employees,"70,000-79,999"
25-29,Man,Brazil,Bachelor’s degree,< 1 years,"Manager (Program, Project, Operations, Executive-level, etc)",Non-profit/Service,0-49 employees,"20,000-24,999"
18-21,Man,Pakistan,Bachelor’s degree,3-5 years,,,,
22-24,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,50-249 employees,$0-999
30-34,Woman,United States of America,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,250-999 employees,"70,000-79,999"
45-49,Man,South Korea,,,,,,
45-49,Man,Germany,Doctoral degree,20+ years,Data Scientist,Retail/Sales,250-999 employees,"100,000-124,999"
22-24,Man,India,Master’s degree,1-3 years,,,,
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0-49 employees,
25-29,Man,India,Master’s degree,1-3 years,Software Engineer,Accounting/Finance,"10,000 or more employees","10,000-14,999"
45-49,Man,Colombia,Master’s degree,< 1 years,Other,Medical/Pharmaceutical,"1000-9,999 employees","10,000-14,999"
18-21,Man,Viet Nam,I prefer not to answer,< 1 years,,,,
30-34,Man,Israel,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,50-249 employees,"30,000-39,999"
30-34,Woman,India,Master’s degree,I have never written code,Other,,,
22-24,Nonbinary,Other,Bachelor’s degree,5-10 years,,,,
35-39,Man,United States of America,Doctoral degree,20+ years,Machine Learning/ MLops Engineer,Accounting/Finance,50-249 employees,"300,000-499,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Woman,United States of America,Master’s degree,3-5 years,,,,
25-29,Woman,India,Doctoral degree,1-3 years,,,,
25-29,Woman,Brazil,Doctoral degree,3-5 years,Research Scientist,Academics/Education,0-49 employees,$0-999
25-29,Man,Brazil,Master’s degree,1-3 years,,,,
35-39,Man,Singapore,Master’s degree,10-20 years,Other,Online Service/Internet-based Services,0-49 employees,
22-24,Woman,China,I prefer not to answer,I have never written code,,,,
25-29,Man,Other,Master’s degree,1-3 years,,,,
18-21,Man,India,Some college/university study without earning a bachelor’s degree,5-10 years,,,,
40-44,Man,Other,Master’s degree,3-5 years,Research Scientist,Government/Public Service,250-999 employees,"40,000-49,999"
